well	rowNames	column	sampleNames	sampleTypes	Status	Sample.Type	Size.Standard	Analysis.Method	SQI	Offscale	Quality	UD1	UD2	UD3	Dye.Sample.Peak	Sample.File.Name	Size	Height	Area.in.Point	Area.in.BP	Data.Point	Begin.Point	Begin.BP	End.Point	End.BP	Width.in.Point	Width.in.BP	User.Comments	User.Edit	Size.Rounded	passedFilter	ignoredPeak	Area.in.BP.RelToMax	Area.in.BP.RelToSum	Area.in.BP.Sum	WTpeak	Size.Fixed	Size.InDels	Multi3
C09	C	09	BF062	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 111"	C09_C09.fsa	302.6616	8306	53270	4727	4049	4040	301.863	4058	303.4604	5	0.5066	NA	NA	303	TRUE	FALSE	1	1	4727	TRUE	302.9098	0	WT
C10	C	10	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 112"	C10_C10.fsa	302.7322	8123	50531	4453	4043	4035	302.0271	4052	303.5253	5	0.4952	NA	NA	303	TRUE	FALSE	1	1	4453	TRUE	302.9804	0	WT
C11	C	11	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 111"	C11_C11.fsa	302.6999	2013	12514	1090	4122	4114	302.0029	4131	303.4841	5	0.4921	NA	NA	303	TRUE	FALSE	1	1	1090	TRUE	302.9481	0	WT
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 118"	D01_D01.fsa	284.087	435	2727	237	3913	3905	283.3913	3923	284.9565	5	0.4662	NA	NA	284	TRUE	FALSE	0.0444486121530383	0.0314532183145322	7535	FALSE	284.3352	-19	frameshift
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 129"	D01_D01.fsa	302.7913	10301	61125	5332	4128	4119	302.0061	4135	303.402	5	0.4685	NA	NA	303	TRUE	FALSE	1	0.707631055076311	7535	TRUE	303.0395	0	WT
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 130"	D01_D01.fsa	303.6638	481	3103	270	4138	4135	303.402	4151	304.7982	5	0.5142	NA	NA	304	TRUE	FALSE	0.0506376594148537	0.0358327803583278	7535	FALSE	303.912	1	frameshift
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 132"	D01_D01.fsa	309.5997	271	1649	144	4206	4198	308.9011	4215	310.3858	5	0.5034	NA	NA	310	TRUE	FALSE	0.027006751687922	0.0191108161911082	7535	FALSE	309.8479	7	frameshift
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 122"	D01_D01.fsa	292.7812	156	841	73	4013	4008	292.3465	4020	293.3897	5	0.4506	NA	NA	293	TRUE	FALSE	0.0136909227306827	0.00968812209688122	7535	FALSE	293.0294	-10	frameshift
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 124"	D01_D01.fsa	295.8243	279	1666	144	4048	4041	295.2156	4051	296.0852	6	0.5578	NA	NA	296	TRUE	FALSE	0.027006751687922	0.0191108161911082	7535	FALSE	296.0725	-7	frameshift
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 125"	D01_D01.fsa	296.781	2225	13053	1135	4059	4051	296.0852	4066	297.3899	5	0.456	NA	NA	297	TRUE	FALSE	0.212865716429107	0.150630391506304	7535	FALSE	297.0292	-6	in-frame
D01	D	01	BF004	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 126"	D01_D01.fsa	297.8249	397	2309	200	4071	4066	297.3899	4078	298.4338	5	0.4711	NA	NA	298	TRUE	FALSE	0.0375093773443361	0.026542800265428	7535	FALSE	298.0731	-5	frameshift
D02	D	02	BF012	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 107"	D02_D02.fsa	289.9122	258	1612	141	3907	3898	289.1216	3909	290.0883	6	0.5449	NA	NA	290	TRUE	FALSE	0.0164010701407468	0.0117794486215539	11970	FALSE	290.1604	-13	frameshift
D02	D	02	BF012	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 108"	D02_D02.fsa	290.8832	4641	28142	2485	3918	3909	290.0883	3926	291.59	5	0.4889	NA	NA	291	TRUE	FALSE	0.289054321274863	0.207602339181287	11970	FALSE	291.1314	-12	in-frame
D02	D	02	BF012	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 110"	D02_D02.fsa	295.7468	876	5702	504	3973	3964	294.9503	3976	296.0124	7	0.6516	NA	NA	296	TRUE	FALSE	0.0586251017796906	0.0421052631578947	11970	FALSE	295.995	-7	frameshift
D02	D	02	BF012	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 111"	D02_D02.fsa	296.7208	16789	97078	8597	3984	3976	296.0124	3992	297.4294	5	0.4705	NA	NA	297	TRUE	FALSE	1	0.718212197159566	11970	FALSE	296.969	-6	in-frame
D02	D	02	BF012	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 112"	D02_D02.fsa	297.6952	402	2745	243	3995	3992	297.4294	4013	299.2906	4	0.3811	NA	NA	298	TRUE	FALSE	0.0282656740723508	0.0203007518796992	11970	FALSE	297.9434	-5	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 123"	D03_D03.fsa	270.063	172	931	82	3646	3638	269.3518	3653	270.6852	5	0.4533	NA	NA	270	TRUE	FALSE	0.0243251260753486	0.00600512632735262	13655	FALSE	270.3112	-33	in-frame
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 124"	D03_D03.fsa	273.7937	1006	6135	544	3688	3679	272.9947	3696	274.5037	5	0.464	NA	NA	274	TRUE	FALSE	0.16137644615841	0.039838886854632	13655	FALSE	274.0419	-29	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 125"	D03_D03.fsa	276.8986	786	4912	435	3723	3715	276.1893	3732	277.6965	5	0.495	NA	NA	277	TRUE	FALSE	0.129041827350934	0.0318564628341267	13655	FALSE	277.1468	-26	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 126"	D03_D03.fsa	283.0989	496	2999	265	3793	3784	282.3022	3799	283.63	5	0.4722	NA	NA	283	TRUE	FALSE	0.0786116879264313	0.0194068106920542	13655	FALSE	283.3471	-20	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 121"	D03_D03.fsa	256.7035	3396	21730	1937	3496	3488	255.9896	3521	258.9318	5	0.4729	NA	NA	257	TRUE	FALSE	0.574606941560368	0.141852801171732	13655	FALSE	256.9517	-46	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 120"	D03_D03.fsa	255.7218	153	1112	99	3485	3469	254.2925	3488	255.9896	6	0.5593	NA	NA	256	TRUE	FALSE	0.0293681400177989	0.00725009154155987	13655	FALSE	255.97	-47	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 130"	D03_D03.fsa	291.8562	2448	15179	1341	3892	3883	291.0605	3898	292.3867	5	0.4912	NA	NA	292	TRUE	FALSE	0.397804805695639	0.0982057854265837	13655	FALSE	292.1044	-11	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 131"	D03_D03.fsa	292.7404	1229	6730	595	3902	3898	292.3867	3908	293.2711	5	0.4727	NA	NA	293	TRUE	FALSE	0.176505487985761	0.0435737824972538	13655	FALSE	292.9886	-10	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 132"	D03_D03.fsa	293.8018	910	4771	422	3914	3908	293.2711	3921	294.4211	5	0.452	NA	NA	294	TRUE	FALSE	0.125185404924355	0.0309044306114976	13655	FALSE	294.05	-9	in-frame
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 135"	D03_D03.fsa	296.7224	6119	38076	3371	3947	3940	296.1027	3953	297.2537	5	0.4856	NA	NA	297	TRUE	FALSE	1	0.246869278652508	13655	FALSE	296.9706	-6	in-frame
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 136"	D03_D03.fsa	297.7851	1526	9180	813	3959	3953	297.2537	3966	298.4051	5	0.489	NA	NA	298	TRUE	FALSE	0.241174725600712	0.0595386305382644	13655	FALSE	298.0333	-5	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 140"	D03_D03.fsa	304.4579	163	1245	111	4034	4031	304.1903	4039	304.9039	8	0.7764	NA	NA	305	TRUE	FALSE	0.0329279145654109	0.0081288905162944	13655	FALSE	304.7061	2	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 141"	D03_D03.fsa	305.7068	656	4697	419	4048	4039	304.9039	4056	306.4205	6	0.5674	NA	NA	306	TRUE	FALSE	0.124295461287452	0.030684730867814	13655	FALSE	305.955	3	in-frame
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 144"	D03_D03.fsa	312.7593	1007	6050	540	4127	4118	311.9554	4134	313.3847	5	0.4954	NA	NA	313	TRUE	FALSE	0.160189854642539	0.0395459538630538	13655	FALSE	313.0075	10	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 134"	D03_D03.fsa	295.7486	2941	17880	1582	3936	3928	295.0405	3940	296.1027	5	0.5096	NA	NA	296	TRUE	FALSE	0.469296944526847	0.115854998169169	13655	FALSE	295.9968	-7	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 138"	D03_D03.fsa	302.7635	270	1528	136	4015	4007	302.0502	4018	303.031	5	0.4905	NA	NA	303	TRUE	FALSE	0.0403441115396025	0.009959721713658	13655	TRUE	303.0117	0	WT
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 139"	D03_D03.fsa	303.6552	694	4327	385	4025	4018	303.031	4031	304.1903	5	0.4818	NA	NA	304	TRUE	FALSE	0.114209433402551	0.0281948004393995	13655	FALSE	303.9034	1	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 146"	D03_D03.fsa	315.5293	802	5191	463	4158	4149	314.725	4169	316.5125	5	0.5225	NA	NA	316	TRUE	FALSE	0.137347967962029	0.0339069937751739	13655	FALSE	315.7775	13	frameshift
D03	D	03	BF020	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 147"	D03_D03.fsa	318.6584	207	1288	115	4193	4184	317.8536	4199	319.195	5	0.5186	NA	NA	319	TRUE	FALSE	0.0341145060812815	0.00842182350787257	13655	FALSE	318.9066	16	frameshift
D04	D	04	BF028	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 135"	D04_D04.fsa	303.6552	528	3566	318	4024	4020	303.2985	4032	304.3687	6	0.5826	NA	NA	304	TRUE	FALSE	0.0620245757753072	0.0345577048467724	9202	FALSE	303.9034	1	frameshift
D04	D	04	BF028	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 128"	D04_D04.fsa	295.754	504	2935	259	3935	3928	295.1346	3938	296.0195	6	0.5837	NA	NA	296	TRUE	FALSE	0.0505168714647942	0.0281460552053901	9202	FALSE	296.0022	-7	frameshift
D04	D	04	BF028	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 129"	D04_D04.fsa	296.7273	9418	57953	5127	3946	3938	296.0195	3954	297.435	5	0.4928	NA	NA	297	TRUE	FALSE	1	0.557161486633341	9202	FALSE	296.9755	-6	in-frame
